,poem,prediction
11,43665/infant-joy,1
12,poem/prefix-finding-measure,0
13,poem/insurrecto,0
14,45706/i-felt-a-funeral-in-my-brain-340,1
15,56457/i-never-hear-that-one-is-dead-1325,1
16,52083/my-grave,0
17,46645/the-reckoning-56d2269728b85,1
18,47109/the-old-man-drew-the-line,0
19,144843/subject-and-object-5a038251992c5,0
0,poem/i-find-the-earring-that-broke-loose,0
1,poem/n-e-r,0
2,26810/the-painter,1
3,47778/on-a-view-of-pasadena-from-the-hills,0
4,poem/let-me-not-marriage-true-minds-sonnet-116,1
5,14530/the-artist,0
6,58561/equator-sky-manila-bay,0
7,56845/history-will-decide,0
8,52654/let-me-count-the-waves,0
9,42639/narcissus-56d2214027b51,0
10,57425/buzzards,0
11,56902/mary-56d239d8bfc56,0
12,poem/love-elegy-chinese-garden-koi,0
13,43075/the-ballad-of-nat-turner,0
14,46845/do-not,1
15,49578/wax-job,0
16,44060/two-went-up-into-the-temple-to-pray,1
17,46548/harlem,1
18,49757/homage-to-h-the-speedway-diner,0
19,45558/there-was-a-boy,1
0,46087/reserve,0
1,48906/our-willie,0
2,45378/the-princess-come-down-o-maid,1
3,poem/my-letters-all-dead-paper-sonnet-28,1
4,poem/cold-war,0
5,poem/landscape-fall-icarus,1
6,57814/an-old-fashioned-song,1
7,poem/it-fear-we-widows-eye-sonnet-9,1
8,56769/aubade-with-burning-city,0
9,44257/old-black-joe,1
10,45314/the-cut-56d224c600c8b,0
11,poem/weaned-life-and-flown-away,0
12,44220/in-defiance-of-fortune,1
13,poem/here-1,0
14,56481/clock-56d239051908a,0
15,57670/aubade-with-bread-for-the-sparrows,0
16,44059/on-mr-g-herberts-book,0
17,poem/childhood-elegy,0
18,43812/a-red-red-rose,1
0,48091/opera-bouffe,0
1,poem/thy-gift-thy-tables-are-within-my-brain-sonnet-122,1
2,poem/it-maybe-time-admit-michael-jordan-definitely-pushed,0
3,58867/larry-levan-snake,0
4,44871/marching-men,1
5,49933/the-bones-of-my-father,1
6,poem/endnote,0
7,47775/to-emily-dickinson-56d22879e4180,0
8,45778/to-the-chief-musician-upon-nabla-a-tyndallic-ode,0
9,40583/the-dowsers-ear,0
10,46681/an-african-elegy,0
11,43702/the-four-ages-of-man-56d22282befab,1
12,57333/at-the-movies,0
13,poem/ode-intimations-immortality-recollections-early-childhood,1
14,poem/o-thou-my-lovely-boy-who-thy-power-sonnet-126,1
15,55870/pantoum-landing-1976,0
16,146230/this-beginning-may-have-always-meant-this-end,0
17,poem/tongue-machine,0
18,45105/sonnet-111-o-for-my-sake-do-you-with-fortune-chide,1
0,poem/sale-auction-keats-love-letters,1
1,48322/a-dialogue-between-thyrsis-and-dorinda,0
2,47950/a-lyric-of-the-dawn,0
3,50987/lost-and-found,0
4,42605/sonnet-10,0
5,54081/sickbed-56d23405ea9b6,0
6,58281/ansel-adams-aspens,0
7,poem/truth-0,0
8,44998/passing-away-saith-the-world,1
9,22085/remarks-on-poetry-and-the-physical-world,1
10,44891/elegy-to-the-memory-of-an-unfortunate-lady,1
11,poem/clonazepam,0
12,41141/li-huas-messenger,0
13,47340/upon-the-loss-of-his-mistresses,1
14,47695/lunar-baedeker,0
15,poem/superheroes-2004-volkswagen-passat-double-sonnet,0
16,58870/a-chingona-plays-miss-dinah-brand,0
17,55770/liquid-flesh,0
18,45927/widow-mcfarlane,1
0,48652/passages-from-virgils-first-georgic,0
1,50012/colin-clout,0
2,47782/john-sutter,0
3,45392/ulysses,1
4,56459/glass-was-the-street-in-tinsel-peril-1518,0
5,42571/crossing-the-atlantic,0
6,47629/hangzhou-lake-of-the-poets,0
7,58866/why-being-on-fire-is-for-everyone,0
8,57046/makeup-sculpts,0
9,45480/when-lilacs-last-in-the-dooryard-bloomd,1
10,48185/i-never-hear-the-word-escape-144,1
11,44677/bermudas,1
12,40614/nimis-compos-mentis,0
13,poem/tradition,1
14,44097/the-canonization,1
15,poem/john-keats-poet-springtime,1
16,46820/deed,0
17,poem/new-year-1,0
18,poem/so-shall-i-live-supposing-thou-art-true-sonnet-93,1
0,45744/paradise-lost-book-8-1674-version,0
1,poem/still-life-rayfish,0
2,42990/september-1918,0
3,47737/sappho,1
4,52730/for-malcolm-x,1
5,46279/xi-mon-january-1736-hath-xxxi-days,1
6,42756/elegy-for-peter,0
7,43740/sonnets-from-the-portuguese-28-my-letters-all-dead-paper-mute-and-white-,1
8,46457/in-the-desert-56d2265793693,1
9,53421/in-oklahoma-56d232b11cac8,1
10,poem/dark-tower-0,1
11,58508/noir-une-lumiere,0
12,58740/axis,0
13,52636/memphis-resurrection,0
14,55965/ligature-4,0
15,poem/they-have-power-hurt-and-will-do-none-sonnet-95,1
16,57803/we-have-trees-now,0
17,poem/ode-black-air-forces,0
18,46217/carrie-leighs-hugh-hefner-haikus,0
0,poem/i-have-rendezvous-life,1
1,50794/cy-twombly-night-watch,0
2,47917/lepanto,1
3,144829/vampires-today,0
4,46270/men-say-they-know-many-things,1
5,52500/my-little-dreams,1
6,52386/to-the-shade-of-burns,0
7,poem/chaucer,0
8,43685/song-memory-hither-come,1
9,47459/in-a-london-drawingroom,1
10,51887/sonnet-to-the-poppy-while-summer-roses-all-their-glory-yield,1
11,43647/the-new-decalogue,1
12,44831/love-song-56d224131a619,0
13,53641/hyperglossia-she-wakes-up-,0
14,45285/the-epitaph-in-form-of-a-ballad-which-villon-made-for-himself-and-his-comrades-expecting-to-be-hanged-along-with-them,1
15,57317/war-mothers,0
16,44654/the-wreck-of-the-hesperus,1
17,44034/sonnet-to-william-wilberforce-esq,1
18,43215/the-things,0
0,poem/slow-through-dark,1
1,144818/winter-hospital-bed,0
2,45503/tract,1
3,46838/the-suburban-classes,0
4,poem/citizen-i,1
5,57272/the-cenotaph-56d23a9c7145a,1
6,40583/the-dowsers-ear,0
7,poem/arthurs-anthology-english-poetry,0
8,46011/union-square,1
9,30514/monuments-for-a-friendly-girl-at-a-tenth-grade-party,0
10,55703/wokiksuye,0
11,45466/on-virtue,1
12,poem/euclid-alone-has-looked-beauty-bare,1
13,46453/on-shakespeare-1630,1
14,55798/september-2011,0
15,43881/the-spring-56d222c1918e0,1
16,44276/the-wood-pile,1
17,poem/galleria-ode,0
18,48462/an-apology-for-the-revival-of-christian-architecture-in-england,1
0,29737/stump,0
1,poem/faith-1,0
2,poem/your-love-and-pity-doth-impression-fill-sonnet-112,1
3,49476/the-garbo-cloth,0
4,poem/let-those-who-are-favour-their-stars-sonnet-25,1
5,52344/ode-to-beauty,1
6,poem/debths,0
7,poem/ode-periods,0
8,44718/the-betrothal,1
9,46062/i-would-fain-die-a-dry-death,0
10,45901/the-bear-hunt,1
11,42955/tapestry-56d2219e153a1,0
12,49075/looking-in-at-night,0
13,53793/an-hispanic-identity-meaning-switches-and-false-twos,0
14,56000/a-vase,0
15,58045/i-want-to-be-near-you,0
16,48015/this-cant-be,0
17,poem/womans-face-natures-own-hand-painted-sonnet-20,1
18,poem/atom-no-18,0
0,43707/verses-upon-the-burning-of-our-house-july-10th-1666,1
1,poem/those-hours-gentle-work-did-frame-sonnet-5,1
2,44761/the-lover-a-ballad,0
3,poem/grandmothers-garden-0,0
4,44765/town-eclogues-thursday-the-bassette-table,0
5,40688/rarefied,0
6,46299/a-parable-56d22622a1ac9,1
7,52025/sonnet-xxv,1
8,43752/a-death-in-the-desert-56d222942c57c,1
9,22722/university,0
10,poem/matrimonial-toast,0
11,43199/color-56d221e6ec8fc,1
12,poem/chicken-hearted,0
13,47431/the-land-of-nod,1
14,49145/bells-for-john-whitesides-daughter,1
15,54834/movie-star-peter-at-the-supper-for-street-people,0
16,55094/listen-put-on-morning,1
17,43946/autumn-56d222d7e0f7c,1
18,55062/ode-56d2362e9907e,0
0,56355/my-brother-at-3-am,1
1,44378/cacoethes-scribendi,0
2,43916/jacob-56d222cc8d5ce,1
3,44981/reuben-bright,1
4,40471/posthumous,0
5,47955/a-workman-to-the-gods,1
6,54924/dilemma-56d235dd9087e,0
7,44571/you-smiled-you-spoke-and-i-believed,1
8,42867/away-above-a-harborful-,1
9,53924/our-lady-of-perpetual-loss,0
10,53507/kenyans-michelangelo,0
11,57512/joan-miro,0
12,52524/deaf-republic-6,0
13,161995/a-bell-is-a-bearer-of-time,0
14,41287/the-age-of-dinosaurs,0
15,poem/contemplating-breasts-pauline-lumumba,0
16,47767/the-tennis-court-oath,0
17,48323/clorinda-and-damon,0
18,45000/remember-56d224509b7ae,1
19,144384/do-you-find-it-hard-to-live-59bc022695ddd,0
0,27765/at-the-executed-murderers-grave,1
1,46815/the-sympathizers,0
2,poem/unarcheology-father,0
3,50170/herbert-white,1
4,47112/poem-56d227566b469,0
5,44906/the-rape-of-the-lock-canto-1,1
6,46092/despotisms,0
7,53829/station-56d2337f2da97,0
8,poem/sonnet-x-one-who-has-been-long-city-pent,1
9,55933/harvest-of-death,0
10,55656/the-death-of-silence,0
11,54841/the-guest-ellen-at-the-supper-for-street-people-56d235acd44d2,0
12,poem/sonnets-ungrafted-tree-xli,1
13,poem/because-you-asked-about-line-between-prose-and-poetry,1
14,poem/verse-certain-dog,1
15,161702/ant-ode,0
16,poem/soliloquy-spanish-cloister,1
17,poem/those-lines-i-have-writ-do-lie-sonnet-115,1
18,44480/ode-to-psyche,1
19,36863/the-bearer-56d21a394b4e4,0
0,58476/at-st-malachys-church,0
1,poem/wwe,0
2,46483/danse-russe,1
3,46655/i-believe,1
4,56983/the-lynching,1
5,poem/leisure,1
6,44123/of-the-progress-of-the-soul-the-second-anniversary,0
7,45181/the-old-mans-complaints-and-how-he-gained-them,1
8,42705/gyroscope-56d22152c3a26,0
9,42479/playing-dead,0
10,poem/venus-milo,0
11,44639/morituri-salutamus-poem-for-the-fiftieth-anniversary-of-the-class-of-1825-in-bowdoin-college,0
12,42544/nothing-but-color,1
13,49849/between-walls,0
14,poem/they-have-power-hurt-and-will-do-none-sonnet-94,1
15,57330/the-falling-leaves,1
16,141954/socratic-590c941579503,0
17,45291/the-higher-pantheism-in-a-nutshell,1
18,47809/after-the-gentle-poet-kobayashi-issa,0
19,53775/the-broken-fountain,0
0,56480/afternoon-56d239048fb63,0
1,poem/when-thou-shalt-be-disposed-set-me-light-sonnet-88,1
2,46286/december-1757-xii-month,0
3,42630/in-the-naked-bed-in-platos-cave,1
4,poem/79,1
5,57554/personal-poem-56d23b2f03a79,1
6,52042/to-shakespeare,0
7,41721/the-lake-56d21ffc656c8,0
8,45916/mrs-benjamin-pantier,1
9,40225/for-allen-ginsberg,0
10,poem/worn-0,0
11,43704/in-reference-to-her-children-23-june-1659,1
12,55283/mutation,0
13,48899/a-vision-of-poesy,1
14,54246/like-holderlin,0
15,44331/no-buyers,1
16,53632/in-the-general-conservative-cast-,0
17,poem/gitanjali-23,1
18,44038/the-task-book-v-the-winter-morning-walk,0
19,poem/nine-haiku,0
0,45498/the-crowd-at-the-ball-game,1
1,poem/blues-haiku-let-me-be-yo-wil,0
2,poem/be-drunk,1
3,54557/to-a-reason,1
4,41994/the-larger,0
5,53775/the-broken-fountain,0
6,44123/of-the-progress-of-the-soul-the-second-anniversary,0
7,53265/from-my-emily-dickinson,0
8,46541/helen-56d22674d6e41,1
9,poem/homage-dario,0
10,poem/time-year-thou-mayst-me-behold-sonnet-73,1
11,poem/why-my-verse-so-barren-new-pride-sonnet-76,1
12,50459/dank-fens-of-cedar-hemlock-branches-gray,0
13,48217/the-sleeper-56d229456743d,1
14,54310/the-kingfishers-56d234829d88a,0
15,58454/please-dont,1
16,58453/special-problems-in-vocabulary,1
17,poem/gnosis,0
18,43710/on-the-death-of-anne-bronte,1
0,47347/the-weary-blues,1
1,47497/maximus-to-gloucester-letter-2,0
2,poem/operation-memory,0
3,poem/so-now-i-have-confessd-he-thine-sonnet-134,1
4,poem/love-my-sin-and-thy-dear-virtue-hate-sonnet-142,1
5,poem/requiem-0,0
6,57270/the-poet-as-hero,1
7,47001/sheriff-matt-whitlock-confesses-to-a-lesson-in-zen-after-hours,0
8,poem/first-time-brushing-teeth-next-you,0
9,55065/capital-one,0
10,44475/la-belle-dame-sans-merci-a-ballad,1
11,poem/twas-new-moon,0
12,45278/a-ballad-of-francois-villon-prince-of-all-ballad-makers,0
13,53836/gold-and-cardboard,0
14,48897/a-rhapsody-of-a-southern-winter-night,0
15,53148/in-the-gallery-of-the-ordinary,0
16,160040/after-roethke,0
17,47336/to-his-conscience,0
18,43006/definition-of-the-frontiers,0
0,44269/the-oven-bird,1
1,44705/modern-love-xiv,1
2,43308/kitchenette-building,1
3,55722/la-lupe,0
4,56578/niggas-in-raincoats-reprise,0
5,54229/euphoria,0
6,43695/evening-56d2227fccb56,1
7,poem/haydon-sonnet-written-seeing-elgin-marbles,1
8,poem/sonnet-baugmaree,1
9,42871/underwear,1
10,poem/sonnet-xi,0
11,49862/the-colonel,1
12,56355/my-brother-at-3-am,0
13,poem/being-your-slave-what-should-i-do-tend-sonnet-57,1
14,poem/faith-i-do-not-love-thee-mine-eyes-sonnet-141,1
15,41285/what-became,1
16,45536/ode-intimations-of-immortality-from-recollections-of-early-childhood,1
17,54029/cherries-56d233e873896,0
18,53468/conversation-23-on-cause,0
0,58486/the-therapist-asks-3,0
1,48102/eve-considers-the-possibility-of-pardon,0
2,51371/a-fable-56d22f0fa5920,0
3,42992/lilacs-56d221a873ff1,0
4,55027/the-end-of-landscape,0
5,90181/no-complaints,0
6,poem/sonnets-cherokee-iii,0
7,45096/sonnet-64-when-i-have-seen-by-times-fell-hand-defacd,1
8,150059/across-the-street,0
9,42618/incident-56d2213a45f36,1
10,12927/ladies,1
11,45099/sonnet-73-that-time-of-year-thou-mayst-in-me-behold,1
12,55525/catalogue-of-ephemera,0
13,44975/ben-jonson-entertains-a-man-from-stratford,1
14,poem/audit,0
15,44865/adam-and-eve-56d2241e065d4,0
16,44447/drury-lane-prologue-spoken-by-mr-garrick-at-the-opening-of-the-theatre-in-drury-lane-1747,1
17,46504/to-you-56d2266869ffd,0
18,poem/who-it-says-most-which-can-say-more-sonnet-84,1
0,40435/study-in-orange-and-white,1
1,poem/atlantic-elegy,0
2,48806/elegy-for-an-old-boxer,0
3,41645/a-momentary-longing-to-hear-sad-advice-from-one-long-dead,0
4,44216/written-with-a-diamond-on-her-window-at-woodstock,1
5,51610/it-sifts-from-leaden-sieves-291,1
6,57326/variations-on-a-theme-by-william-carlos-williams,1
7,45467/to-a-gentleman-and-lady-on-the-death-of-the-ladys-brother-and-sister-and-a-child-of-the-name-avis-aged-one-year,1
8,49563/cloudy-day-56d22bc3b944c,0
9,poem/seven-steps-heaven-haiku,0
10,poem/improvisational-score,0
11,poem/sonnet-mutation,0
12,58339/five-yellow-roses,0
13,48901/two-portraits,1
14,poem/where-you-live,0
15,13074/peace,1
16,51902/to-mr-st-coleridge,0
17,poem/i-shall-forget-you-presently-my-dear-sonnet-iv,1
18,55093/a-reminiscence-56d23640e5246,0
0,poem/stridulation-sonnet,0
1,12840/chicago,1
2,poem/anna-kuerner,0
3,42180/kind-of-blue,0
4,56226/sonnet-142-love-is-my-sin-and-thy-dear-virtue-hate,1
5,45823/jottings-of-new-york-a-descriptive-poem,1
6,poem/foreign-wife-elegy,0
7,47614/metropolitan,0
8,poem/adams-curse,1
9,45116/archys-song-from-charles-i-a-widow-bird-sate-mourning,1
10,47921/the-ballad-of-god-makers,1
11,54416/what-i-do,0
12,47023/mirandas-drowned-book,0
13,47716/in-memoriam-martin-luther-king-jr,1
14,55916/counsel-in-the-south,0
15,50437/gnostic,0
16,poem/artless,0
17,49355/ninas-blues,1
18,45009/the-house-of-life-19-silent-noon,1
0,poem/henry-viii-prologue-i-come-no-more-make-you-laugh,1
1,poem/peridot,0
2,44391/the-caged-skylark,1
3,poem/when-my-love-swears-she-made-truth-sonnet-138,1
4,49642/hip-hop-ghazal,1
5,143946/lepidopteran-a-cento,1
6,43193/at-the-sea-side,0
7,45384/the-princess-tears-idle-tears,1
8,58804/the-nurse-tree,0
9,poem/two-loves-i-have-comfort-and-despair-sonnet-144,1
10,poem/e,0
11,54817/no-epitaph,0
12,poem/magazine,0
13,45535/ode-to-duty,0
14,49567/vegas,1
15,47264/a-toast-to-the-men,0
16,58868/granite-weaving,0
17,49619/when-the-world-as-we-knew-it-ended,1
18,57806/on-rebellion,0
0,poem/six-words,0
1,45088/sonnet-19-devouring-time-blunt-thou-the-lions-paws,1
2,42693/manufacturing,0
3,47497/maximus-to-gloucester-letter-2,0
4,42721/in-the-marble-quarry,0
5,44112/holy-sonnets-this-is-my-plays-last-scene,1
6,poem/trying-too-hard-write-poem-sitting-beach,0
7,42861/in-goyas-greatest-scenes-we-seem-to-see-,0
8,49851/negroes,0
9,44675/the-passionate-shepherd-to-his-love,1
10,49593/misery-and-splendor,0
11,43534/for-christmas-day-hark-the-herald-angels-sing,1
12,poem/ulysses,1
13,poem/o-how-much-more-doth-beauty-beauteous-seem-sonnet-54,1
14,poem/sappho-and-phaon-sonnet-iii,0
15,55914/giving-back-the-flower,0
16,49089/the-feast-of-stephen,0
17,49584/hello-willie-shoemaker,0
18,45086/sonnet-15-when-i-consider-everything-that-grows,1
0,92664/prayer-is-better-than-sleep,0
1,43739/sonnets-from-the-portuguese-26-i-lived-with-visions-for-my-company,1
2,44658/to-lucasta-going-to-the-wars,1
3,poem/poetry-destructive-force,1
4,44764/town-eclogues-wednesday-the-tete-a-tete,1
5,44893/epistles-to-several-persons-epistle-ii-to-a-lady-on-the-characters-of-women,1
6,43876/an-elegy-upon-the-death-of-the-dean-of-pauls-dr-john-donne,0
7,poem/belly,0
8,55944/march-56d237ff49038,0
9,40502/mountain-dulcimer,0
10,54991/i-came-upon-the-gnawed-torso-of-a-seal,0
11,poem/edgar-allan-poe,0
12,poem/impression-du-voyage,1
13,poem/sonnet-xliv,0
14,46007/the-look-56d225c39adda,0
15,44051/but-men-loved-darkness-rather-than-light,1
16,poem/how-careful-was-i-when-i-took-my-way-sonnet-48,1
17,48377/women-56d22991710fe,0
18,40817/pauline-is-falling,0
19,44630/divina-commedia,1
0,47048/sonnet-with-a-different-letter-at-the-end-of-every-line,0
1,45325/idylls-of-the-king-the-passing-of-arthur,1
2,46557/what-lips-my-lips-have-kissed-and-where-and-why,1
3,46881/untitled-1-now-you-are-all-here-you-might-as-well-know-,0
4,42933/unholy-sonnet-4,0
5,44315/the-lay-for-the-troubled-golfer,0
6,45298/march-an-ode,0
7,50643/sonnet-1-from-fairest-creatures-we-desire-increase,1
8,45547/scorn-not-the-sonnet,1
9,poem/acedia-sestina,0
10,poem/still-life,0
11,51553/spring-song-56d22f5e9a70c,0
12,poem/owed-durag,0
13,57037/on-the-move,0
14,poem/venus-milo,0
15,57515/yves-tanguy,0
16,poem/modern-love-xxv,1
17,12675/in-a-station-of-the-metro,1
18,54023/night-heron-maybe,0
19,poem/again-0,0
0,55601/palinode,0
1,48754/my-father-teaches-me-to-dream,1
2,poem/grief,1
3,44647/sir-humphrey-gilbert,1
4,45590/unstable-dream,1
5,42915/little-robin-redbreast,0
6,42866/the-canticle-of-jack-kerouac,0
7,54851/book-2-epigram-21-in-momum-,0
8,151517/ars-poetica-5dc04e4e608b9,0
9,45268/a-satirical-elegy-on-the-death-of-a-late-famous-general,1
10,poem/loving-thee-thou-knowst-i-am-forsworn-sonnet-152,1
11,poem/sword-swallowers-valentine,0
12,50847/angels-56d22e3533158,0
13,poem/elegy-my-grandmother-form-cactus,0
14,57528/poem-written-with-buson-in-a-minute,0
15,26063/hypocrite-auteur,0
16,poem/instructions-not-giving,1
17,44212/the-love-song-of-j-alfred-prufrock,1
18,49163/in-celebration,0
19,poem/winter-leafage,0
0,51969/to-solitude,1
1,44688/to-his-coy-mistress,1
2,poem/saturday-april-17-2010-1249-am,0
3,53810/fishing-on-the-susquehanna-in-july,1
4,46317/often-i-am-permitted-to-return-to-a-meadow,1
5,45755/there-was-an-old-man-with-a-beard,1
6,53628/the-day-shifts-,0
7,poem/poems-i-have-not-written,1
8,poem/it-thy-will-thy-image-should-keep-open-sonnet-61,1
9,poem/julius-caesar-act-iii-scene-i-o-pardon-me-thou-bleeding-piece-earth,1
10,40977/its-been-two-thousand-years-now,0
11,poem/sonnet-ungrafted-tree-xvii,0
12,58872/testament-scratched-into-a-water-station-barrel-translation-11,0
13,43745/andrea-del-sarto,1
14,poem/unquiet-grave,1
15,44608/there-was-an-old-man-on-the-border,1
16,33700/hospital-56d2172820f46,0
17,poem/15c-futures,0
18,42701/the-brief-journey-west,0
19,43917/a-leak-in-the-dike,1
0,57553/poem-khrushchev-is-coming-on-the-right-day,0
1,poem/beshrew-heart-makes-my-heart-groan-sonnet-133,1
2,53704/from-spring-psalter,0
3,54027/gautier-dagotys-ecorches,0
4,43314/the-sundays-of-satin-legs-smith,0
5,44050/should-the-wide-world-roll-away,1
6,54564/kora-in-hell-improvisations-xxvii,0
7,44569/the-maids-lament,1
8,46069/epitaph-56d225d778fed,0
9,55446/the-war,0
10,44885/annabel-lee,1
11,poem/shall-i-compare-thee-summers-day-sonnet-18,1
12,57345/in-memory-of-george-calderon,0
13,poem/anthem-doomed-youth,1
14,poem/when-i-have-seen-times-fell-hand-defaced-sonnet-64,1
15,44109/holy-sonnets-if-poisonous-minerals-and-if-that-tree,1
16,46283/satire-v-on-women,1
17,43818/ye-flowery-banks-bonie-doon,1
18,poem/little-matrons,0
19,poem/our-house,0
0,47331/an-ode-to-ben-jonson,1
1,49723/the-way-to-keep-going-in-antarctica,0
2,42792/monet-les-nympheas,0
3,47577/eight-variations,0
4,49685/the-northeast-corridor,0
5,poem/title-poem,0
6,52162/hotel-lautreamont,0
7,44609/there-was-an-old-person-of-nice,1
8,poem/wind-2,0
9,46080/in-cities-be-alert,0
10,44468/bright-star-would-i-were-stedfast-as-thou-art,1
11,53538/walter-b-needs-some-time,0
12,54999/hart-crane-slept-here,0
13,51555/night-piece-56d22f5fc7bda,0
14,41998/nightwatchmans-song,1
15,47053/to-a-real-standup-piece-of-painted-crockery,0
16,44027/the-castaway,1
17,45032/fog-56d2245d7b36c,1
18,42726/montana-pastoral,1
19,43994/loves-apparition-and-evanishment-an-allegoric-romance,1
0,44624/the-arrow-and-the-song,1
1,47433/to-any-reader,1
2,poem/my-last-duchess,1
3,27622/the-great-blue-heron,0
4,45512/character-of-the-happy-warrior,1
5,poem/death-be-not-proud-holy-sonnet-10,1
6,poem/artist-signs-her-masterpiece-immodestly,0
7,poem/tomb-three-parts,0
8,45721/success-is-counted-sweetest-112,1
9,poem/haydon-sonnet-written-seeing-elgin-marbles,1
10,poem/dirtbag,0
11,144382/sex-tape-or-future-and-audre-lorde-fall-in-love-59bc022618191,0
12,47599/edwardian-christmas,0
13,44896/an-essay-on-criticism-part-1,1
14,42948/my-shoes,1
15,58877/brownies-of-the-southwest-troop-704,0
16,88744/lost-in-the-milky-way,0
17,55625/increment-56d23765ad9e0,0
18,42670/ave-maria,0
0,54777/horse-horse-hyphen-hyphen,0
1,47386/the-dying-hunter-to-his-dog,0
2,45080/ode-in-memory-of-the-american-volunteers-fallen-for-france,1
3,45824/greenlands-icy-mountains,1
4,44728/spring-56d223f01f86e,1
5,poem/long-deployment,0
6,poem/great-figure,1
7,44481/on-first-looking-into-chapmans-homer,1
8,47879/brass-spittoons,1
9,48214/the-market-place,0
10,47269/along-with-youth,0
11,poem/self-portrait-cindy-shermans-instagram-account,0
12,30012/things-we-dreamt-we-died-for,0
13,poem/was-it-proud-full-sail-his-great-verse-sonnet-86,1
14,poem/one-art,1
15,30436/of-late,0
16,poem/small-craft-talk-warning,0
17,poem/devouring-time-blunt-thou-lions-paws-sonnet-19,1
18,57514/rene-magritte,0
0,43780/youth-and-art,1
1,44037/the-task-book-iv-the-winter-evening,1
2,48894/sonnet-i-scarcely-grieve,0
3,poem/ode-anger,0
4,53907/haiku-journey,0
5,53771/the-pike,1
6,45826/the-burial-of-the-rev-george-gilfillan,1
7,poem/praise-poem-key-diaspora,0
8,46882/proverbs-56d226f5efe25,0
9,161991/cuando-tenia-seis-anos,0
10,46059/to-the-indifferent-women,0
11,42814/i-dreamed-that-in-a-city-dark-as-paris,0
12,poem/dream-4,1
13,57325/sonnet-in-search-of-an-author,1
14,poem/sweet-are-dreams-breeze-blown-strand,0
15,45467/to-a-gentleman-and-lady-on-the-death-of-the-ladys-brother-and-sister-and-a-child-of-the-name-avis-aged-one-year,1
16,poem/aubade-edits,0
17,poem/against-time-if-ever-time-come-sonnet-49,1
18,44394/felix-randal,1
0,55642/blues-for-samson,0
1,44897/an-essay-on-criticism-part-2,1
2,47014/abundance-56d2272d9d4f5,0
3,53158/frostbite,0
4,50715/historical-disquisitions,0
5,143782/passengers,0
6,49514/sad-boys-sad-boy,0
7,55526/in-the-museum-of-lost-objects,0
8,43073/corsons-inlet,1
9,14416/end-of-the-comedy,0
10,poem/love-light-giver,0
11,44706/modern-love-xvi,1
12,57293/god-how-i-hate-you-you-young-cheerful-men,1
13,55022/playa-colorada,0
14,poem/modern-love-v,0
15,45543/the-prelude-book-2-school-time-continued,1
16,42602/eternity-blues,0
17,56224/sonnet-133-beshrew-that-heart-that-makes-my-heart-to-groan,1
18,45288/the-garden-of-proserpine,1
0,54807/a-low-bank-of-cloud,0
1,44255/jeanie-with-the-light-brown-hair,1
2,23759/crossroads,0
3,43221/when-you-are-not-surprised,0
4,poem/modern-love-xxxiii,1
5,57697/enlightenment-56d23b7175cc0,1
6,48258/encounter-in-buffalo,0
7,151744/bird-therapy-fish-tank,0
8,43208/clear-seeing,0
9,54311/as-the-dead-prey-upon-us,0
10,52070/street-music,0
11,47549/video-blues,1
12,43084/francines-room,0
13,47892/my-life-a-name-trimmed-with-colored-ribbons,0
14,47365/tortoise-gallantry,0
15,55760/the-american-on-his-first-honeymoon,0
16,poem/london-my-beautiful,1
17,poem/imagery,0
18,poem/panorama-after-foreclosure,0
0,54686/value-added,0
1,41125/sugar-dada,0
2,poem/i-left-you-mine-eye-my-mind-sonnet-113,1
3,41041/une-histoire-de-bleu-from-a-story-of-blue,0
4,43187/the-highwayman,1
5,47660/a-supermarket-in-california,1
6,54709/brad-pitt-kevin-bacon-and-the-brown-boys-mother,0
7,poem/niobe,0
8,poem/her-aint-even-de-funeral,0
9,poem/thereat-siege-engine,0
10,118559/collage-with-train-trip-memories-and-laundry,0
11,52020/in-the-reading-room-of-the-british-museum,0
12,52356/under-the-evening-moon,1
13,45109/sonnet-146-poor-soul-the-centre-of-my-sinful-earth,1
14,58778/gratuitous-oranges,0
15,45119/epipsychidion,1
16,44101/elegy-ix-the-autumnal,1
17,47152/willies-wart,0
18,46482/altruism,0
0,44646/shakespeare-56d223d11b146,0
1,12592/the-piper,0
2,42909/dont-worry-if-your-job-is-small,1
3,44039/the-task-book-vi-the-winter-walk-at-noon,1
4,33182/learning-the-trees,0
5,43640/epitaph-on-the-tombstone-of-a-child-the-last-of-seven-that-died-before,1
6,poem/host-air,1
7,47799/soweto,0
8,20741/ondine,0
9,49188/muckraker,0
10,49816/louisiana-line,0
11,52288/sonnet-16,0
12,51147/ode-to-marbles,1
13,54306/to-his-own-device,0
14,45265/the-beasts-confession,1
15,46460/frederick-douglass,1
16,poem/sonnet-ii,1
17,146007/back-up-quick-theyre-hippies,1
18,poem/poem,0
19,12631/general-william-booth-enters-into-heaven,1
0,poem/blue-hanuman,0
1,88733/toy-boat,0
2,50402/i-have-a-young-sister,0
3,poem/ars-poetica-excerpt-telling-gospel-truth,0
4,46175/the-little-walls-before-china,0
5,52339/silence-56d230b89fd5e,1
6,poem/house-pere-lacroix,0
7,56848/citizen-you-are-in-the-dark-in-the-car,1
8,47438/near-helikon,0
9,54524/the-rain-56d234f78f810,1
10,poem/sonnet-tall-flower-blooming-dinnertime,0
